Nodes per level: 16, maximum level: 6.
NodeId	PathId	PathToken	PathDigits
0	0	R	0	0	0	0	0	0
1	1	Ra	0	0	0	0	0	1
2	2	Rb	0	0	0	0	0	2
3	3	Rc	0	0	0	0	0	3
4	4	Rd	0	0	0	0	0	4
5	5	Re	0	0	0	0	0	5
6	6	Rf	0	0	0	0	0	6
7	7	Rg	0	0	0	0	0	7
8	8	Rh	0	0	0	0	0	8
9	9	Ri	0	0	0	0	0	9
10	10	Rj	0	0	0	0	0	10
11	11	Rk	0	0	0	0	0	11
12	12	Rl	0	0	0	0	0	12
13	13	Rm	0	0	0	0	0	13
14	14	Rn	0	0	0	0	0	14
15	15	Ro	0	0	0	0	0	15
16	16	Rp	0	0	0	0	0	16
17	17	RA	0	0	0	0	1	0
18	18	RAa	0	0	0	0	1	1
19	19	RAb	0	0	0	0	1	2

288	288	RPp	0	0	0	0	16	16
289	306	RAA	0	0	0	1	1	0

4640	4912	RPPp	0	0	0	16	16	16
4641	5219	RAAA	0	0	1	1	1	0

74272	83520	RPPPp	0	0	16	16	16	16
74273	88740	RAAAA	0	1	1	1	1	0

1188384	1419856	RPPPPp	0	16	16	16	16	16
1188385	1508597	RAAAAA	1	1	1	1	1	0
