Nodes per level: 10, maximum level: 6.
NodeId	PathId	PathToken	PathDigits
0	0	R	0	0	0	0	0	0
1	1	Ra	0	0	0	0	0	1
2	2	Rb	0	0	0	0	0	2
3	3	Rc	0	0	0	0	0	3
4	4	Rd	0	0	0	0	0	4
5	5	Re	0	0	0	0	0	5
6	6	Rf	0	0	0	0	0	6
7	7	Rg	0	0	0	0	0	7
8	8	Rh	0	0	0	0	0	8
9	9	Ri	0	0	0	0	0	9
10	10	Rj	0	0	0	0	0	10
11	11	RA	0	0	0	0	1	0
12	12	RAa	0	0	0	0	1	1
13	13	RAb	0	0	0	0	1	2

120	120	RJj	0	0	0	0	10	10
121	132	RAA	0	0	0	1	1	0

1220	1330	RJJj	0	0	0	10	10	10
1221	1463	RAAA	0	0	1	1	1	0

12220	14640	RJJJj	0	0	10	10	10	10
12221	16104	RAAAA	0	1	1	1	1	0

122220	161050	RJJJJj	0	10	10	10	10	10
122221	177155	RAAAAA	1	1	1	1	1	0
